,COUNTY,USAWT2RC,W1STATE,WWWHISP,CENSDIV,F2,STRATA,WWWRACE3,WWWBLACK,WWWAGE,WWWEDU5,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
915,-0.08644400785854633,-0.2691755534614395,-0.09090909090909094,-1,-0.3548387096774195,0.3333333333333335,1.0,-1,-1,-0.45454545454545436,0.0,0,0,0,1,0,0,0
1165,-0.16444735501709973,-0.33203314792591077,-0.1636363636363637,-1,0.29032258064516125,0.3333333333333335,1.0,-1,-1,-0.5454545454545454,0.0,1,0,0,0,0,0,0
304,-0.41868587644619093,-1.0,-0.4181818181818182,-1,-0.3548387096774195,0.3333333333333335,0.0,0,1,0.3333333333333335,1.0,0,0,0,0,0,0,0
2769,-0.08644400785854633,-1.0,-0.09090909090909094,-1,-0.3548387096774195,-0.9999999999999999,0.0,0,1,0.060606060606060774,0.0,1,0,0,0,0,0,0
1352,0.9675471148948556,0.08573571768899524,0.9636363636363636,-1,-0.3548387096774195,1.0,1.0,-1,-1,-0.5151515151515151,0.5,1,0,0,1,1,1,1
1154,0.4209415702539472,-0.6108049905028925,0.4181818181818182,-1,0.41935483870967727,1.0,1.0,-1,-1,0.7272727272727275,0.0,1,0,0,1,1,1,1
1565,0.6019064250891362,-1.0,0.5999999999999999,-1,0.29032258064516125,0.3333333333333335,1.0,-1,-1,-0.09090909090909083,0.5,0,0,0,0,0,0,1
2017,0.02022847995343069,-1.0,0.018181818181818077,-1,-0.29032258064516125,1.0,0.0,-1,-1,-0.606060606060606,0.5,0,0,0,1,0,1,1
111,0.7090882631157678,-1.0,0.709090909090909,-1,0.41935483870967727,-0.33333333333333326,-1.0,-1,-1,-0.7878787878787877,-0.5,0,0,1,0,0,1,1
611,-0.30866623008076854,-0.6863574838807249,-0.3090909090909091,-1,-0.29032258064516125,1.0,1.0,-1,-1,-0.09090909090909083,1.0,1,0,0,1,1,1,1
1753,-0.09102815979043888,-1.0,-0.09090909090909094,-1,-0.3548387096774195,0.3333333333333335,1.0,-1,-1,-0.33333333333333326,0.5,1,0,0,0,0,0,0
1112,0.31172233136869654,-1.0,0.3090909090909091,-1,0.29032258064516125,1.0,1.0,-1,-1,0.24242424242424265,1.0,0,0,0,0,0,1,0
2247,0.7158553445390379,-1.0,0.709090909090909,1,0.41935483870967727,0.3333333333333335,-1.0,-1,-1,-0.1212121212121211,1.0,0,0,1,0,0,1,1
